1|Alice|Alice|NNP|PERSON
2|was|be|VBD|O
3|beginning|begin|VBG|O
4|to|to|TO|O
5|get|get|VB|O
6|very|very|RB|O
7|tired|tired|JJ|O
8|of|of|IN|O
9|sitting|sit|VBG|O
10|by|by|IN|O
11|her|she|PRP$|O
12|sister|sister|NN|O
13|on|on|IN|O
14|the|the|DT|O
15|bank|bank|NN|O
16|,|,|,|O
17|and|and|CC|O
18|of|of|IN|O
19|having|have|VBG|O
20|nothing|nothing|NN|O
21|to|to|TO|O
22|do|do|VB|O
23|:|:|:|O
24|once|once|RB|DATE
25|or|or|CC|O
26|twice|twice|RB|O
27|she|she|PRP|O
28|had|have|VBD|O
29|peeped|peep|VBN|O
30|into|into|IN|O
31|the|the|DT|O
32|book|book|NN|O
33|her|she|PRP$|O
34|sister|sister|NN|O
35|was|be|VBD|O
36|reading|read|VBG|O
37|,|,|,|O
38|but|but|CC|O
39|it|it|PRP|O
40|had|have|VBD|O
41|no|no|DT|O
42|pictures|picture|NNS|O
43|or|or|CC|O
44|conversations|conversation|NNS|O
45|in|in|IN|O
46|it|it|PRP|O
47|,|,|,|O
48|`|`|``|O
49|and|and|CC|O
50|what|what|WP|O
51|is|be|VBZ|O
52|the|the|DT|O
53|use|use|NN|O
54|of|of|IN|O
55|a|a|DT|O
56|book|book|NN|O
57|,|,|,|O
58|'|'|''|O
59|thought|think|VBD|O
60|Alice|Alice|NNP|O
61|`|`|``|O
62|without|without|IN|O
63|pictures|picture|NNS|O
64|or|or|CC|O
65|conversations|conversation|NNS|O
66|?|?|.|O
67|'|'|''|O
1|So|so|IN|O
2|she|she|PRP|O
3|was|be|VBD|O
4|considering|consider|VBG|O
5|in|in|IN|O
6|her|she|PRP$|O
7|own|own|JJ|O
8|mind|mind|NN|O
9|-LRB-|-lrb-|-LRB-|O
10|as|as|RB|O
11|well|well|RB|O
12|as|as|IN|O
13|she|she|PRP|O
14|could|could|MD|O
15|,|,|,|O
16|for|for|IN|O
17|the|the|DT|DATE
18|hot|hot|JJ|DATE
19|day|day|NN|DATE
20|made|make|VBD|O
21|her|she|PRP$|O
22|feel|feel|NN|O
23|very|very|RB|O
24|sleepy|sleepy|JJ|O
25|and|and|CC|O
26|stupid|stupid|JJ|O
27|-RRB-|-rrb-|-RRB-|O
28|,|,|,|O
29|whether|whether|IN|O
30|the|the|DT|O
31|pleasure|pleasure|NN|O
32|of|of|IN|O
33|making|make|VBG|O
34|a|a|DT|O
35|daisy-chain|daisy-chain|NN|O
36|would|would|MD|O
37|be|be|VB|O
38|worth|worth|JJ|O
39|the|the|DT|O
40|trouble|trouble|NN|O
41|of|of|IN|O
42|getting|get|VBG|O
43|up|up|RB|O
44|and|and|CC|O
45|picking|pick|VBG|O
46|the|the|DT|O
47|daisies|daisy|NNS|O
48|,|,|,|O
49|when|when|WRB|O
50|suddenly|suddenly|RB|O
51|a|a|DT|O
52|White|White|NNP|O
53|Rabbit|rabbit|NN|O
54|with|with|IN|O
55|pink|pink|JJ|O
56|eyes|eye|NNS|O
57|ran|run|VBD|O
58|close|close|RB|O
59|by|by|IN|O
60|her|she|PRP|O
61|.|.|.|O
1|There|there|EX|O
2|was|be|VBD|O
3|nothing|nothing|NN|O
4|so|so|RB|O
5|VERY|very|RB|O
6|remarkable|remarkable|JJ|O
7|in|in|IN|O
8|that|that|DT|O
9|;|;|:|O
10|nor|nor|CC|O
11|did|do|VBD|O
12|Alice|Alice|NNP|PERSON
13|think|think|VB|O
14|it|it|PRP|O
15|so|so|RB|O
16|VERY|very|RB|O
17|much|much|JJ|O
18|out|out|IN|O
19|of|of|IN|O
20|the|the|DT|O
21|way|way|NN|O
22|to|to|TO|O
23|hear|hear|VB|O
24|the|the|DT|O
25|Rabbit|rabbit|NN|O
26|say|say|VBP|O
27|to|to|TO|O
28|itself|itself|PRP|O
29|,|,|,|O
30|`|`|``|O
31|Oh|oh|UH|O
32|dear|dear|RB|O
33|!|!|.|O
1|Oh|oh|UH|O
2|dear|dear|RB|O
3|!|!|.|O
1|I|I|PRP|O
2|shall|shall|MD|O
3|be|be|VB|O
4|late|late|JJ|O
5|!|!|.|O
6|'|'|''|O
1|-LRB-|-lrb-|-LRB-|O
2|when|when|WRB|O
3|she|she|PRP|O
4|thought|think|VBD|O
5|it|it|PRP|O
6|over|over|IN|O
7|afterwards|afterwards|RB|O
8|,|,|,|O
9|it|it|PRP|O
10|occurred|occur|VBD|O
11|to|to|TO|O
12|her|she|PRP$|O
13|that|that|IN|O
14|she|she|PRP|O
15|ought|ought|MD|O
16|to|to|TO|O
17|have|have|VB|O
18|wondered|wonder|VBN|O
19|at|at|IN|O
20|this|this|DT|O
21|,|,|,|O
22|but|but|CC|O
23|at|at|IN|O
24|the|the|DT|O
25|time|time|NN|O
26|it|it|PRP|O
27|all|all|DT|O
28|seemed|seem|VBD|O
29|quite|quite|RB|O
30|natural|natural|JJ|O
31|-RRB-|-rrb-|-RRB-|O
32|;|;|:|O
33|but|but|CC|O
34|when|when|WRB|O
35|the|the|DT|O
36|Rabbit|rabbit|NN|O
37|actually|actually|RB|O
38|TOOK|take|VBD|O
39|A|a|DT|O
40|WATCH|watch|VB|O
41|OUT|OUT|NNP|O
42|OF|of|IN|O
43|ITS|ITS|NNP|O
44|WAISTCOAT-POCKET|WAISTCOAT-POCKET|NNP|O
45|,|,|,|O
46|and|and|CC|O
47|looked|look|VBD|O
48|at|at|IN|O
49|it|it|PRP|O
50|,|,|,|O
51|and|and|CC|O
52|then|then|RB|O
53|hurried|hurry|VBD|O
54|on|on|IN|O
55|,|,|,|O
56|Alice|Alice|NNP|PERSON
57|started|start|VBD|O
58|to|to|TO|O
59|her|she|PRP$|O
60|feet|foot|NNS|O
61|,|,|,|O
62|for|for|IN|O
63|it|it|PRP|O
64|flashed|flash|VBD|O
65|across|across|IN|O
66|her|she|PRP$|O
67|mind|mind|NN|O
68|that|that|IN|O
69|she|she|PRP|O
70|had|have|VBD|O
71|never|never|RB|O
72|before|before|RB|O
73|seen|see|VBN|O
74|a|a|DT|O
75|rabbit|rabbit|NN|O
76|with|with|IN|O
77|either|either|CC|O
78|a|a|DT|O
79|waistcoat-pocket|waistcoat-pocket|NN|O
80|,|,|,|O
81|or|or|CC|O
82|a|a|DT|O
83|watch|watch|NN|O
84|to|to|TO|O
85|take|take|VB|O
86|out|out|RP|O
87|of|of|IN|O
88|it|it|PRP|O
89|,|,|,|O
90|and|and|CC|O
91|burning|burn|VBG|O
92|with|with|IN|O
93|curiosity|curiosity|NN|O
94|,|,|,|O
95|she|she|PRP|O
96|ran|run|VBD|O
97|across|across|IN|O
98|the|the|DT|O
99|field|field|NN|O
100|after|after|IN|O
101|it|it|PRP|O
102|,|,|,|O
103|and|and|CC|O
104|fortunately|fortunately|RB|O
105|was|be|VBD|O
106|just|just|RB|O
107|in|in|IN|O
108|time|time|NN|O
109|to|to|TO|O
110|see|see|VB|O
111|it|it|PRP|O
112|pop|pop|VB|O
113|down|down|RP|O
114|a|a|DT|O
115|large|large|JJ|O
116|rabbit-hole|rabbit-hole|NN|O
117|under|under|IN|O
118|the|the|DT|O
119|hedge|hedge|NN|O
120|.|.|.|O
1|In|in|IN|O
2|another|another|DT|O
3|moment|moment|NN|O
4|down|down|IN|O
5|went|go|VBD|O
6|Alice|Alice|NNP|PERSON
7|after|after|IN|O
8|it|it|PRP|O
9|,|,|,|O
10|never|never|RB|O
11|once|once|RB|DATE
12|considering|consider|VBG|O
13|how|how|WRB|O
14|in|in|IN|O
15|the|the|DT|O
16|world|world|NN|O
17|she|she|PRP|O
18|was|be|VBD|O
19|to|to|TO|O
20|get|get|VB|O
21|out|out|RP|O
22|again|again|RB|O
23|.|.|.|O
